"","Character","Occupation","Category","appearances","HigherCategory","Rank","Rank2","id"
"23","Anna Nicole Smith","American model, actress, and television personality","Acting Entertainer","6","Entertainer","-0.5","1","23"
"24","Anne Heche","American actress, a director, and a screenwriter","Acting Entertainer","3","Entertainer","-0.5","1","24"
"25","Anthony Edwards","American actor and director","Acting Entertainer","1","Entertainer","-0.5","1","25"
"26","Arianne Zuker","American actress and model","Acting Entertainer","1","Entertainer","-0.5","1","26"
"27","Arnold Schwarzenegger","Austrian-American actor, producer, businessman, investor, author, philanthropist, activist, and former professional bodybuilder and politician","Acting Entertainer","13","Entertainer","-0.5","1","27"
"28","Arsenio Hall","American comedian, actor, and talk show host","Acting Entertainer","3","Entertainer","-0.5","1","28"
"29","Ashley Olsen","American actress, fashion designer, producer, author, and businesswoman","Acting Entertainer","1","Entertainer","-0.5","1","29"
"30","Ashton Kutcher","American actor and investor","Acting Entertainer","4","Entertainer","-0.5","1","30"
"31","Aziz Ansari","American actor, comedian, and writer","Acting Entertainer","1","Entertainer","-0.5","1","31"
"32","Barbara Howar","actress, best known for ""The Trials of Henry Kissinger""","Acting Entertainer","2","Entertainer","-0.5","1","32"
"33","Barkhad Abdi","Somali-American actor and director","Acting Entertainer","1","Entertainer","-0.5","1","33"
"34","Barry Livingston","American television and film actor, known for his role as Ernie Douglas on the television series My Three Sons","Acting Entertainer","1","Entertainer","-0.5","1","34"
"35","Barry Williams","American actor best known for his role as Greg Brady on The Brady Bunch","Acting Entertainer","1","Entertainer","-0.5","1","35"
"36","Ben Affleck","American actor and filmmaker","Acting Entertainer","1","Entertainer","-0.5","1","36"
"37","Ben Bailey","American comedian, licensed taxi cab driver, and Emmy Award winning former game show host and executive producer for Discovery Channel's Cash Cab in New York City","Acting Entertainer","1","Entertainer","-0.5","1","37"
"38","Benny Hill","English comedian and actor, best remembered for his long-running internationally popular television programme The Benny Hill Show","Acting Entertainer","1","Entertainer","-0.5","1","38"
"39","Bernard Shaw","Irish playwright, critic, and polemicist whose influence on Western theatre, culture, and politics extended from the 1880s to his death and beyond","Acting Entertainer","5","Entertainer","-0.5","1","39"
"40","Bernie Mac","American comedian, actor and voice artist","Acting Entertainer","1","Entertainer","-0.5","1","40"
"41","Bette Davis","American actress of film, television, and theater","Acting Entertainer","2","Entertainer","-0.5","1","41"
"42","Bianca Jagger","Nicaraguan social and human rights advocate and a former actress, also known as ex-wife to Mick Jagger","Acting Entertainer","1","Entertainer","-0.5","1","42"
"43","Biff Henderson","American comedian and television personality best known for his work on the Late Show with David Letterman","Acting Entertainer","1","Entertainer","-0.5","1","43"
"44","Big John Murray","actor, known for Rock of Love with Bret Michaels","Acting Entertainer","1","Entertainer","-0.5","1","44"
"45","Bill Bellamy","American actor and stand-up comedian","Acting Entertainer","1","Entertainer","-0.5","1","45"
"46","Bill Paxton","American actor and director","Acting Entertainer","1","Entertainer","-0.5","1","46"
"47","Billy Crystal","American actor, writer, producer, director, comedian and television host","Acting Entertainer","1","Entertainer","-0.5","1","47"
"48","Billy Wilder","Austrian-born Jewish American filmmaker, screenwriter, producer, artist and journalist, whose career spanned more than fifty years and sixty films","Acting Entertainer","1","Entertainer","-0.5","1","48"
"49","Bob Vila","American home improvement television show host known for This Old House (1979–1989), Bob Vila's Home Again (1990–2005), and Bob Vila (2005–2007)","Acting Entertainer","1","Entertainer","-0.5","1","49"
"50","Bobcat Goldthwait","American comedian, filmmaker, actor and voice artist, known for his acerbic black comedy, delivered through an energetic stage persona with an unusual gruff and high-pitched voice","Acting Entertainer","2","Entertainer","-0.5","1","50"
"51","Boogie","actor, known for iCarly, Step Up 2: The Streets, and Universal Remote.","Acting Entertainer","1","Entertainer","-0.5","1","51"
"52","Brad Pitt","American actor and producer","Acting Entertainer","10","Entertainer","-0.5","1","52"
"53","Brian Grazer","American film and television producer","Acting Entertainer","1","Entertainer","-0.5","1","53"
"54","Brooke Shields","American actress, model and former child star","Acting Entertainer","9","Entertainer","-0.5","1","54"
"55","Bruce Lee","Hong Kong and American actor, martial artist, philosopher, filmmaker and founder of the martial art Jeet Kune Do.","Acting Entertainer","1","Entertainer","-0.5","1","55"
"56","Burt Reynolds","American actor, director and producer","Acting Entertainer","19","Entertainer","-0.5","1","56"
"57","Burt Ward","American television actor and activist","Acting Entertainer","1","Entertainer","-0.5","1","57"
"58","Butch Patrick","American child actor","Acting Entertainer","1","Entertainer","-0.5","1","58"
"59","Calista Flockhart","American actress, widely known for her roles on television in Ally McBeal, Brothers & Sisters and Supergirl","Acting Entertainer","4","Entertainer","-0.5","1","59"
"60","Cameron Crowe","American director, producer, screenwriter, journalist, author, and actor","Acting Entertainer","1","Entertainer","-0.5","1","60"
"61","Cameron Diaz","American actress, producer, and former fashion model","Acting Entertainer","1","Entertainer","-0.5","1","61"
"62","Camryn Manheim","American actress known primarily for her roles on ABC's The Practice, CBS's Ghost Whisperer, Person of Interest","Acting Entertainer","2","Entertainer","-0.5","1","62"
"63","Carol Wayne","American television and film actress","Acting Entertainer","1","Entertainer","-0.5","1","63"
"64","Carole Lombard","American film actress","Acting Entertainer","1","Entertainer","-0.5","1","64"
"65","Carrot Top","American stand-up comedian and actor best known for his bright red hair, prop comedy, and self-deprecating humor","Acting Entertainer","3","Entertainer","-0.5","1","65"
"66","Carson Daly","American television host, radio personality, producer and television personality","Acting Entertainer","7","Entertainer","-0.5","1","66"
"67","Carson Kressley","television personality, actor and designer","Acting Entertainer","1","Entertainer","-0.5","1","67"
"68","Cary Grant","British-American actor, known as one of classic Hollywood's definitive leading men","Acting Entertainer","2","Entertainer","-0.5","1","68"
"69","Casey Affleck","American actor and director","Acting Entertainer","1","Entertainer","-0.5","1","69"
"70","Cate Blanchett","Australian actress and theatre director","Acting Entertainer","1","Entertainer","-0.5","1","70"
"71","Catherine Zeta-Jones","Welsh actress","Acting Entertainer","2","Entertainer","-0.5","1","71"
"72","Chad Lowe","American actor and director","Acting Entertainer","2","Entertainer","-0.5","1","72"
"73","Chad Michael Murray","American actor, spokesperson, writer and former fashion model","Acting Entertainer","1","Entertainer","-0.5","1","73"
"74","Charles Grodin","American actor, comedian, author, and former cable talk show host","Acting Entertainer","2","Entertainer","-0.5","1","74"
"75","Charles Nelson Reilly","American actor, comedian, director, and drama teacher, known for his comedic roles on stage and in films, children's television and cartoons, and as a game show panelist","Acting Entertainer","1","Entertainer","-0.5","1","75"
"76","Charlie Sheen","American actor","Acting Entertainer","4","Entertainer","-0.5","1","76"
"77","Charlize Theron","South African and American actress and film producer","Acting Entertainer","1","Entertainer","-0.5","1","77"
"78","Charlton Heston","American actor and political activist","Acting Entertainer","12","Entertainer","-0.5","1","78"
"79","Cheech Marin","American comedian, actor, writer, voice actor and activist who gained recognition as part of the comedy act Cheech & Chong","Acting Entertainer","1","Entertainer","-0.5","1","79"
"80","Chloë Sevigny","American actress, fashion designer, director, and former model","Acting Entertainer","1","Entertainer","-0.5","1","80"
"81","Chris Harrison","American television and one-time game show host, best known for his role as host of the ABC reality television dating show, The Bachelor","Acting Entertainer","1","Entertainer","-0.5","1","81"
"82","Chris Pine","American actor","Acting Entertainer","1","Entertainer","-0.5","1","82"
"83","Chris Rock","American comedian, actor, writer, producer, and director","Acting Entertainer","2","Entertainer","-0.5","1","83"
"84","Chris Tucker","American actor and stand-up comedian","Acting Entertainer","4","Entertainer","-0.5","1","84"
"85","Christian Bale","English actor","Acting Entertainer","1","Entertainer","-0.5","1","85"
"86","Christian Slater","American actor and producer","Acting Entertainer","1","Entertainer","-0.5","1","86"
"87","Christina Ferrare","American former fashion model, actress, author and television talk-show host","Acting Entertainer","1","Entertainer","-0.5","1","87"
"88","Christoph Waltz","Austrian-German actor","Acting Entertainer","3","Entertainer","-0.5","1","88"
"89","Chuck Norris","American martial artist, actor, film producer and screenwriter","Acting Entertainer","2","Entertainer","-0.5","1","89"
"90","Cicely Tyson","American actress","Acting Entertainer","1","Entertainer","-0.5","1","90"
"91","Clark Gable","American film actor, often referred to as ""The King of Hollywood"" or just simply as ""The King""","Acting Entertainer","2","Entertainer","-0.5","1","91"
"92","Cole Sprouse","American actor and twin of Dylan Sprouse","Acting Entertainer","1","Entertainer","-0.5","1","92"
"93","Conan O'Brien","American television host, comedian, and television producer","Acting Entertainer","1","Entertainer","-0.5","1","93"
"94","Cuba Gooding Jr.","American actor","Acting Entertainer","5","Entertainer","-0.5","1","94"
"95","Dakota Fanning","American actress and model","Acting Entertainer","4","Entertainer","-0.5","1","95"
"96","Dana Plato","American actress who was notable for having played the role of Kimberly Drummond on the U.S. television sitcom Diff'rent Strokes from 1978 to 1986","Acting Entertainer","1","Entertainer","-0.5","1","96"
"97","Dane Cook","American stand-up comedian and film actor","Acting Entertainer","3","Entertainer","-0.5","1","97"
"98","Daniel Benzali","Brazilian-American stage, television and film actor","Acting Entertainer","1","Entertainer","-0.5","1","98"
"99","Daniel Day-Lewis","English actor","Acting Entertainer","1","Entertainer","-0.5","1","99"
"100","Daniel Radcliffe","English actor best known for his role as Harry Potter in the film series of the same name","Acting Entertainer","2","Entertainer","-0.5","1","100"
"101","Danny Aiello","American actor who has appeared in numerous motion pictures","Acting Entertainer","1","Entertainer","-0.5","1","101"
"102","Danny Bonaduce","American radio/television personality, comedian, professional wrestler, and former child actor","Acting Entertainer","1","Entertainer","-0.5","1","102"
"103","Danny DeVito","American actor, comedian, director and producer","Acting Entertainer","2","Entertainer","-0.5","1","103"
"104","Danny Glover","American actor, film director, and political activist","Acting Entertainer","3","Entertainer","-0.5","1","104"
"105","David Alan Grier","American actor and comedian","Acting Entertainer","1","Entertainer","-0.5","1","105"
"106","David Brenner","American stand-up comedian, actor and author","Acting Entertainer","3","Entertainer","-0.5","1","106"
"107","David Caruso","American actor and producer","Acting Entertainer","1","Entertainer","-0.5","1","107"
"108","David Doyle","American actor, best remembered for his role as detective John Bosley on the TV series Charlie's Angels","Acting Entertainer","1","Entertainer","-0.5","1","108"
"109","David Furnish","Canadian filmmaker, former advertising executive, and now a film director and producer most known for his documentary Elton John: Tantrums & Tiaras","Acting Entertainer","1","Entertainer","-0.5","1","109"
"110","David Gest","American entertainer, comedian, producer, and television personality","Acting Entertainer","3","Entertainer","-0.5","1","110"
"111","David Spade","American actor, stand-up comedian, writer, and television personality","Acting Entertainer","1","Entertainer","-0.5","1","111"
"112","David Susskind","American producer of TV, movies, and stage plays and also a pioneer TV talk show host","Acting Entertainer","3","Entertainer","-0.5","1","112"
"113","Del Close","American actor, writer, and teacher who coached many of the best-known comedians and comic actors of the late twentieth century","Acting Entertainer","1","Entertainer","-0.5","1","113"
"114","Denise Nickerson","American former child actress best known for her roles as the gum-chewing Violet Beauregarde in the 1971 movie Willy Wonka & the Chocolate Factory","Acting Entertainer","1","Entertainer","-0.5","1","114"
"115","Dennis Franz","American actor best known for his role as hard-boiled NYPD Detective Andy Sipowicz in the ABC television series NYPD Blue ","Acting Entertainer","2","Entertainer","-0.5","1","115"
"116","Dennis Haysbert","American film and television actor","Acting Entertainer","1","Entertainer","-0.5","1","116"
"117","Dennis Miller","American stand-up comedian, talk show host, political commentator, sports commentator, actor, and television and radio personality","Acting Entertainer","10","Entertainer","-0.5","1","117"
"118","Denzel Washington","American actor, director, and producer","Acting Entertainer","6","Entertainer","-0.5","1","118"
"119","Derek Acorah","describes himself as a spiritual medium, best known for his TV work on Most Haunted, broadcast on Living TV","Acting Entertainer","1","Entertainer","-0.5","1","119"
"120","Destin Pfaff","entrepreneur, performer, filmmaker, philanthropist, best known for appearing on six seasons of the TV series ""Millionaire Matchmaker""","Acting Entertainer","1","Entertainer","-0.5","1","120"
"121","Diane Keaton","American film actress, director and producer","Acting Entertainer","1","Entertainer","-0.5","1","121"
"122","Dina Lohan","American television personality who rose to fame as the mother and manager of actress Lindsay Lohan","Acting Entertainer","2","Entertainer","-0.5","1","122"
"123","Dino De Laurentiis","Italian film producer","Acting Entertainer","1","Entertainer","-0.5","1","123"
"124","Dom DeLuise","American actor, voice actor, comedian, film director, television producer, chef, and author","Acting Entertainer","2","Entertainer","-0.5","1","124"
"125","Don Adams","American actor, comedian, and director","Acting Entertainer","2","Entertainer","-0.5","1","125"
"126","Don Cheadle","American actor, writer, producer, and director","Acting Entertainer","2","Entertainer","-0.5","1","126"
"127","Don Herbert","creator and host of  Watch Mr. Wizard and of Mr. Wizard's World, which were educational television programs for children devoted to science and technology","Acting Entertainer","2","Entertainer","-0.5","1","127"
"128","Don Knotts","American comedic actor, best known as Barney Fife on The Andy Griffith Show, a 1960s sitcom for which he earned five Emmy awards","Acting Entertainer","1","Entertainer","-0.5","1","128"
"129","Don Rickles","American stand-up comedian and actor","Acting Entertainer","1","Entertainer","-0.5","1","129"
"130","Donald Sutherland","Canadian actor whose film career spans six decades","Acting Entertainer","1","Entertainer","-0.5","1","130"
"131","Donna Reed","American film and television actress and producer","Acting Entertainer","1","Entertainer","-0.5","1","131"
"132","Doug Llewelyn","actor, best known as the host of TV's ""classic"" version of the courtroom series ""The People's Court""","Acting Entertainer","2","Entertainer","-0.5","1","132"
"133","Doug Stanhope","American stand-up comedian, actor, and author known for his cynical and controversial comedy style","Acting Entertainer","1","Entertainer","-0.5","1","133"
"134","Dr. Haing S. Ngor","Cambodian American gynecologist, obstetrician, actor, author, and refugee, best known for winning the Academy Award for Best Supporting Actor in his performance in the film The Killing Fields","Acting Entertainer","1","Entertainer","-0.5","1","134"
"135","Drew Barrymore","American actress, author, director, model and producer","Acting Entertainer","7","Entertainer","-0.5","1","135"
"136","Dustin Hoffman","American actor and a director, with a career in film, television, and theatre since 1960","Acting Entertainer","2","Entertainer","-0.5","1","136"
"137","Dylan McDermott","American actor","Acting Entertainer","1","Entertainer","-0.5","1","137"
"138","Dylan Sprouse","American actor, twin of Cole Sprouse","Acting Entertainer","1","Entertainer","-0.5","1","138"
"139","Earl Holliman","American actor","Acting Entertainer","1","Entertainer","-0.5","1","139"
"140","Ed Asner","American actor, voice actor and a former president of the Screen Actors Guild","Acting Entertainer","2","Entertainer","-0.5","1","140"
"141","Ed Begley Jr.","American actor and environmentalist","Acting Entertainer","1","Entertainer","-0.5","1","141"
"142","Edd Byrnes","American actor best known for his starring role in the television series 77 Sunset Strip","Acting Entertainer","1","Entertainer","-0.5","1","142"
"143","Edie Falco","American television, film, and stage actress","Acting Entertainer","2","Entertainer","-0.5","1","143"
"144","Edward G. Robinson","Romanian-born American actor","Acting Entertainer","1","Entertainer","-0.5","1","144"
"145","Eleonora Duse","Italian actress, often known simply as Duse","Acting Entertainer","1","Entertainer","-0.5","1","145"
"146","Elijah Wood","American actor, voice actor, producer, and DJ","Acting Entertainer","1","Entertainer","-0.5","1","146"
"147","Elizabeth Berkley","American actress","Acting Entertainer","1","Entertainer","-0.5","1","147"
"148","Elizabeth Hurley","English actress and model","Acting Entertainer","2","Entertainer","-0.5","1","148"
"149","Elizabeth Taylor","British-American actress, businesswoman, and humanitarian","Acting Entertainer","8","Entertainer","-0.5","1","149"
"150","Ellen DeGeneres","American comedian, television host, actress, writer, and producer","Acting Entertainer","5","Entertainer","-0.5","1","150"
"151","Ellen Pompeo","American actress and producer","Acting Entertainer","1","Entertainer","-0.5","1","151"
"152","Emilia Clarke","English actress","Acting Entertainer","1","Entertainer","-0.5","1","152"
"153","Emilio Estevez","American actor, director, and writer","Acting Entertainer","1","Entertainer","-0.5","1","153"
"154","Emma Stone","American actress","Acting Entertainer","1","Entertainer","-0.5","1","154"
"155","Emmanuel Lewis","American actor, best known for playing the title character in the 1980s television sitcom Webster","Acting Entertainer","1","Entertainer","-0.5","1","155"
"156","Eric Bogosian","Armenian American actor, playwright, monologuist, novelist and historian","Acting Entertainer","1","Entertainer","-0.5","1","156"
"157","Eric Braeden","German film and television actor","Acting Entertainer","1","Entertainer","-0.5","1","157"
"158","Eric Roberts","American actor","Acting Entertainer","1","Entertainer","-0.5","1","158"
"159","Eriq La Salle","American actor, director, writer and producer known for his portrayals of Darryl in the 1988 comedy film Coming to America","Acting Entertainer","1","Entertainer","-0.5","1","159"
"160","Ethel Barrymore","American actress and a member of the Barrymore family of actors","Acting Entertainer","1","Entertainer","-0.5","1","160"
"161","Eva Longoria","American actress, producer, director, activist and businesswoman","Acting Entertainer","1","Entertainer","-0.5","1","161"
"162","Ewan McGregor","Scottish actor","Acting Entertainer","2","Entertainer","-0.5","1","162"
"163","F. Murray Abraham","American actor","Acting Entertainer","1","Entertainer","-0.5","1","163"
"164","Fannie Flagg","American actress, comedian and author","Acting Entertainer","1","Entertainer","-0.5","1","164"
"165","Farrah Fawcett","American actress and artist","Acting Entertainer","4","Entertainer","-0.5","1","165"
"166","Felicity Huffman","American film, stage, and television actress","Acting Entertainer","2","Entertainer","-0.5","1","166"
"167","Fernando Lamas","Argentine-born American actor and director, and the father of actor Lorenzo Lamas","Acting Entertainer","13","Entertainer","-0.5","1","167"
"168","Forest Whitaker","American actor, producer, and director","Acting Entertainer","2","Entertainer","-0.5","1","168"
"169","Fran Drescher","American film and television comedian, model, actress, producer, ordained Universal Life Church minister, and activist","Acting Entertainer","5","Entertainer","-0.5","1","169"
"170","Francis Ford Coppola","semi-retired American film director, producer, and screenwriter","Acting Entertainer","1","Entertainer","-0.5","1","170"
"171","Fred Savage","American actor, director, and producer","Acting Entertainer","1","Entertainer","-0.5","1","171"
"172","Fred Silverman","American television executive and producer","Acting Entertainer","6","Entertainer","-0.5","1","172"
"173","Fred Thompson","American politician, attorney, lobbyist, columnist, film and television actor, and radio host","Acting Entertainer","1","Entertainer","-0.5","1","173"
"174","Frederick de Cordova","American stage, motion picture and television director and producer","Acting Entertainer","1","Entertainer","-0.5","1","174"
"175","Free","American media personality, television producer and philanthropist, best known as the first host of BET's 106 & Park","Acting Entertainer","1","Entertainer","-0.5","1","175"
"176","French Stewart","American actor and comedian, best known for his role as Harry Solomon on the 1990s sitcom 3rd Rock from the Sun","Acting Entertainer","2","Entertainer","-0.5","1","176"
"177","Gael García Bernal","Mexican film actor, director, and producer","Acting Entertainer","1","Entertainer","-0.5","1","177"
"178","Garrison Keillor","American author, storyteller, humorist, radio actor, voice actor, and radio personality","Acting Entertainer","1","Entertainer","-0.5","1","178"
"179","Garry Shandling","American stand-up comedian, actor, writer, and producer, best known for his work in It's Garry Shandling's Show and The Larry Sanders Show","Acting Entertainer","2","Entertainer","-0.5","1","179"
"180","Gary Busey","American actor of film and television","Acting Entertainer","5","Entertainer","-0.5","1","180"
"181","Gary Coleman","American actor and comedian, best known for his role as Arnold Jackson in Diff'rent Strokes (1978–1986) and for his small stature as an adult","Acting Entertainer","1","Entertainer","-0.5","1","181"
"182","Gary Dell'Abate","American radio producer, and has been the executive producer of The Howard Stern Show since 1984","Acting Entertainer","2","Entertainer","-0.5","1","182"
"183","Geoffrey Rush","Australian actor and film producer","Acting Entertainer","1","Entertainer","-0.5","1","183"
"184","George Carlin","American stand-up comedian, social critic, actor, and author","Acting Entertainer","2","Entertainer","-0.5","1","184"
"185","George Clooney","American actor, filmmaker, and activist","Acting Entertainer","1","Entertainer","-0.5","1","185"
"186","George Hamilton","American film and television actor","Acting Entertainer","2","Entertainer","-0.5","1","186"
"187","George Lopez","American comedian, actor, and talk show host","Acting Entertainer","1","Entertainer","-0.5","1","187"
"188","George Lucas","American filmmaker and entrepreneur","Acting Entertainer","2","Entertainer","-0.5","1","188"
"189","George Plimpton","American journalist, writer, literary editor, actor and occasional amateur sportsman","Acting Entertainer","1","Entertainer","-0.5","1","189"
"190","George R. R. Martin","American novelist and short-story writer in the fantasy, horror, and science fiction genres, screenwriter, and television producer","Acting Entertainer","3","Entertainer","-0.5","1","190"
"191","George Takei","Japanese-American actor, director, author, and activist","Acting Entertainer","1","Entertainer","-0.5","1","191"
"192","Gerard Butler","Scottish actor who has appeared on film, stage, and television","Acting Entertainer","1","Entertainer","-0.5","1","192"
"193","Gerard Depardieu","French actor, filmmaker, businessman and vineyard owner","Acting Entertainer","1","Entertainer","-0.5","1","193"
"194","Gilbert Gottfried","American stand-up comedian, actor and voice actor","Acting Entertainer","3","Entertainer","-0.5","1","194"
"195","Gillian Anderson","American-British film, television and theatre actress, activist and writer","Acting Entertainer","1","Entertainer","-0.5","1","195"
"196","Ginnifer Goodwin","American actress","Acting Entertainer","1","Entertainer","-0.5","1","196"
"197","Gisele Bundchen","Brazilian fashion model and actress","Acting Entertainer","2","Entertainer","-0.5","1","197"
"198","Gloria Stuart","American film and stage actress, visual artist, and activist","Acting Entertainer","2","Entertainer","-0.5","1","198"
"199","Gloria Swanson","American actress and producer best known for her role as Norma Desmond, a reclusive silent film star, in the critically acclaimed 1950 film Sunset Boulevard","Acting Entertainer","1","Entertainer","-0.5","1","199"
"200","Gloria Vanderbilt","American artist, author, actress, fashion designer, heiress, and socialite","Acting Entertainer","1","Entertainer","-0.5","1","200"
"201","Grace Kelly","American actress who became Princess of Monaco after marrying Prince Rainier III, in April 1956","Acting Entertainer","3","Entertainer","-0.5","1","201"
"202","Gregory Peck","American actor who was one of the most popular film stars from the 1940s to the 1960s","Acting Entertainer","1","Entertainer","-0.5","1","202"
"203","Greta Garbo","Swedish-born American film actress during the 1920s and 1930s","Acting Entertainer","1","Entertainer","-0.5","1","203"
"204","Halle Berry","American actress, film producer, and former fashion model","Acting Entertainer","1","Entertainer","-0.5","1","204"
"205","Harrison Ford","American actor and film producer","Acting Entertainer","2","Entertainer","-0.5","1","205"
"206","Harvey Fierstein","American actor, playwright, and voice actor","Acting Entertainer","6","Entertainer","-0.5","1","206"
"207","Hayley Mills","English actress","Acting Entertainer","1","Entertainer","-0.5","1","207"
"208","Heidi Klum","German-American model, television personality, businesswoman, fashion designer, singer, television producer, and occasional actress","Acting Entertainer","3","Entertainer","-0.5","1","208"
"209","Helen Hayes","American actress whose career spanned almost 80 years","Acting Entertainer","1","Entertainer","-0.5","1","209"
"210","Helena Bonham Carter","English actress","Acting Entertainer","2","Entertainer","-0.5","1","210"
"211","Henry Winkler","American actor, director, comedian, producer, and author","Acting Entertainer","1","Entertainer","-0.5","1","211"
"212","Hervé Villechaize","French actor and painter of English and Filipino descent","Acting Entertainer","1","Entertainer","-0.5","1","212"
"213","Hilary Swank","American actress and producer","Acting Entertainer","1","Entertainer","-0.5","1","213"
"214","Howie Mandel","Canadian comedian, actor, television host, and voice actor","Acting Entertainer","5","Entertainer","-0.5","1","214"
"215","Hugh Downs","long-time American broadcaster, television host, news anchor, TV producer, author, game show host, and music composer","Acting Entertainer","3","Entertainer","-0.5","1","215"
"216","Hugh Grant","English actor and film producer","Acting Entertainer","1","Entertainer","-0.5","1","216"
"217","Iain Glen","Scottish film, television, and stage actor","Acting Entertainer","1","Entertainer","-0.5","1","217"
"218","Ian McKellen","English actor","Acting Entertainer","1","Entertainer","-0.5","1","218"
"219","Jaason Simmons","Australian actor best known for the role of Logan Fowler on the TV series Baywatch","Acting Entertainer","1","Entertainer","-0.5","1","219"
"220","Jack Nicholson","American actor and filmmaker, who has performed for over 60 years","Acting Entertainer","5","Entertainer","-0.5","1","220"
"221","Jackée Harry","American actress, director and television personality","Acting Entertainer","2","Entertainer","-0.5","1","221"
"222","Jackie Mason","American stand-up comedian and film and television actor","Acting Entertainer","2","Entertainer","-0.5","1","222"
"223","Jaclyn Smith","American actress and businesswoman","Acting Entertainer","1","Entertainer","-0.5","1","223"
"224","Jacqueline Bisset","English actress","Acting Entertainer","1","Entertainer","-0.5","1","224"
"225","Jaleel White","American actor, voice actor, producer, and screenwriter","Acting Entertainer","2","Entertainer","-0.5","1","225"
"226","James Dean","American actor","Acting Entertainer","1","Entertainer","-0.5","1","226"
"227","James Franco","American actor and filmmaker known for his work in both comedic and dramatic films and TV shows","Acting Entertainer","2","Entertainer","-0.5","1","227"
"228","James Gandolfini","American actor and producer","Acting Entertainer","1","Entertainer","-0.5","1","228"
"229","James Haven Voight","American actor and producer","Acting Entertainer","2","Entertainer","-0.5","1","229"
"230","James Lipton","American writer, lyricist, actor and dean emeritus of the Actors Studio Drama School at Pace University in New York City","Acting Entertainer","6","Entertainer","-0.5","1","230"
"231","James Mason","English actor","Acting Entertainer","3","Entertainer","-0.5","1","231"
"232","James Van Der Beek","American actor","Acting Entertainer","1","Entertainer","-0.5","1","232"
"233","Jamie Farr","American television, film, and theatre actor","Acting Entertainer","1","Entertainer","-0.5","1","233"
"234","Jamie Lee Curtis","American actress and author","Acting Entertainer","3","Entertainer","-0.5","1","234"
"235","Jane Russell","American film actress and one of Hollywood's leading sex symbols in the 1940s and 1950s","Acting Entertainer","1","Entertainer","-0.5","1","235"
"236","Janeane Garofalo","American actress, stand-up comedian, liberal political activist, and writer","Acting Entertainer","1","Entertainer","-0.5","1","236"
"237","Jason Alexander (II)","actor, voice actor, comedian, director, best known as George Costanza in the TV series Seinfeld","Acting Entertainer","1","Entertainer","-0.5","1","237"
"238","Javier Bardem","Spanish actor from the Canary Islands","Acting Entertainer","2","Entertainer","-0.5","1","238"
"239","Jay Leno","American comedian, actor, philanthropist and television host","Acting Entertainer","9","Entertainer","-0.5","1","239"
"240","Jay Thomas","American actor, comedian, and radio talk show host","Acting Entertainer","1","Entertainer","-0.5","1","240"
"241","Jean Kasem","American actress","Acting Entertainer","1","Entertainer","-0.5","1","241"
"242","Jean Marsh","English actress and writer","Acting Entertainer","2","Entertainer","-0.5","1","242"
